Food group;NEVO-code;Engelse naam/Food name;Hoeveelheid/Quantity;Opmerking;Bevat sporen van/Contains traces of;Is verrijkt met/Is fortified with;ENERCJ (kJ);ENERCC (kcal);WATER (g);PROT (g);PROTPL (g);PROTAN (g);NT (g);TRP (mg);FAT (g);FACID (g);FASAT (g);FAMSCIS (g);FAPU (g);FAPUN3 (g);FAPUN6 (g);FATRS (g);CHO (g);SUGAR (g);STARCH (g);POLYL (g);FIBT (g);ALC (g);OA (g);ASH (g);CHORL (mg);NA (mg);K (mg);CA (mg);P (mg);MG (mg);FE (mg);HAEM (mg);NHAEM (mg);CU (mg);SE (µg);ZN (mg);ID (µg);VITA_RAE (µg);VITA_RE (µg);RETOL (µg);CARTBTOT (µg);CARTA (µg);LUTN (µg);ZEA (µg);CRYPXB (µg);LYCPN (µg);VITD (µg);CHOCALOH (µg);CHOCAL (µg);ERGCAL (µg);VITE (mg);TOCPHA (mg);TOCPHB (mg);TOCPHD (mg);TOCPHG (mg);VITK (µg);VITK1 (µg);VITK2 (µg);THIA (mg);RIBF (mg);VITB6 (mg);VITB12 (µg);NIAEQ (mg);NIA (mg);FOL (µg);FOLFD (µg);FOLAC (µg);VITC (mg);F4:0 (g);F6:0 (g);F8:0 (g);F10:0 (g);F11:0 (g);F12:0 (g);F13:0 (g);F14:0 (g);F15:0 (g);F16:0 (g);F17:0 (g);F18:0 (g);F19:0 (g);F20:0 (g);F21:0 (g);F22:0 (g);F23:0 (g);F24:0 (g);F25:0 (g);F26:0 (g);FASATXR (g);F10:1CIS (g);F12:1CIS (g);F14:1CIS (g);F16:1CIS (g);F18:1CIS (g);F20:1CIS (g);F22:1CIS (g);F24:1CIS (g);FAMSCXR (g);F18:2CN6 (g);F18:2CN9 (g);F18:2CT (g);F18:2TC (g);F18:2R (g);F18:3CN3 (g);F18:3CN6 (g);F18:4CN3 (g);F20:2CN6 (g);F20:3CN9 (g);F20:3CN6 (g);F20:3CN3 (g);F20:4CN6 (g);F20:4CN3 (g);F20:5CN3 (g);F21:5CN3 (g);F22:2CN6 (g);F22:2CN3 (g);F22:3CN3 (g);F22:4CN6 (g);F22:5CN6 (g);F22:5CN3 (g);F22:6CN3 (g);F24:2CN6 (g);FAPUXR (g);F10:1TRS (g);F12:1TRS (g);F14:1TRS (g);F16:1TRS (g);F18:1TRS (g);F18:2TTN6 (g);F18:3TTTN3 (g);F20:1TRS (g);F20:2TT (g);F22:1TRS (g);F24:1TRS (g);FAMSTXR (g);FAUN (g);cleaned_name;nutrition_index;flavour_index;flavour_name
Fats and oils;3152;margarine product 60% fat >17 g sat fa salted;per 100g;Gebaseerd op Bona.;FOL, FOLFD, NIA, RIBF, THIA, VITB12, VITB6, VITC, ZN;CHOCAL, RETOL, VITA_RAE, VITA_RE, VITD;2189;532;40,7;0,2;0,2;0;;;59;56,6;16,8;13,4;26,9;1,2;12,2;0,5;0,2;0,2;0;0;0;0;;;2.0;129.0;42.0;10.0;23.0;2.0;0,1;0;0,1;0;0.0;0;1,5;800.0;800.0;800.0;;;;;;;7,5;0;7,5;;13,1;;;;;;;;0;0;0;0;;0;0;0;0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,2;;;;;1,2;;;;;;;;;0;;;;;;;;0;;;;;;;;;;;;;;;;%  >;1838;778.0;salt
Cereals and cereal products;3153;quinoa raw;per 100g;;;;1492;354;13,3;14,1;14,1;0;;;6,1;5,6;0,7;1,6;3,3;0,3;3;0;57,2;4,9;52,2;0;7;0;;2,4;0.0;5.0;563.0;47.0;457.0;197.0;4,6;0;4,6;0,59;9.0;3,1;;1.0;1.0;0.0;8.0;0.0;;;1.0;0.0;0;0;0;0;2,5;2,4;0,1;;;0;0;;0,36;0,32;0,487;0;;1,5;184;184;0;0.0;;;;;;;;;;0,6;;0,04;;0,03;;0,03;;0,01;;;;;;;;1,42;0,09;0,08;0,02;;2,97;;;;;0,26;;;;;;;0,01;;0;;;;;;;;0,05;;;;;;;;;;;;;;;;quinoa;1839;616.0;quinoa
Cereals and cereal products;3154;quinoa cooked;per 100g;;;;483;114;71,6;4,4;4,4;0;;;1,9;1,8;0,2;0,5;1,1;0,1;1;0;18,5;0,9;17,6;0;2,8;0;;0,8;0.0;7.0;172.0;17.0;152.0;64.0;1,5;0;1,5;0,19;3.0;1,09;;0.0;1.0;0.0;3.0;0.0;;;0.0;0.0;0;0;0;0;0,8;0,6;0;0,1;1,2;0;0;;0,11;0,11;0,123;0;;0,4;42;42;0;0.0;0;0;0;0;0;0;0;0;0;0,2;0;0,01;0;0,01;0;0,01;0;0;0.0;0.0;0;0;0;0;0;0,46;0,03;0,03;0,01;0;0,97;0;0;0;0;0,09;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0,02;0.0;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;;quinoa;1840;616.0;quinoa
Cheese;3155;cheese 30+ age 4-8 weeks;per 100g;;;;1167;280;45,9;30,1;0;30,1;;;17,7;16,6;11,5;3,7;0,5;0,2;0,3;0,5;0;0;0;0;0;0;;;56.0;677.0;76.0;1020.0;610.0;40.0;0,2;0;0,2;0,07;13.0;4,15;22;173.0;179.0;168.0;67.0;1.0;3.0;1.0;2.0;1.0;0,2;0,1;0,2;0;0,5;0,4;0;0;0;45,8;2,2;43,6;0,03;0,32;0,053;1,71;;0,1;30;30;0;0.0;0,62;0,46;0,27;0,54;0;0,68;0;1,96;0,18;5,09;0,08;1,65;0;0;0;0;0;0;0.0;0.0;0;0;0;0,19;0,33;3,23;0;0;0;0;0,29;0;0;0;0;0,23;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0,07;0,41;0;0;0;0.0;0;0.0;0;0,35;cheese +  - weeks;1841;62.0;cheese
Foods for special nutritional use;3156;infant formula kruidvat standaard 1 p 100 ml;per 100ml;;;;278;67;87,2;1,3;0;1,3;;;3,3;3,1;1,3;1,3;0,5;;;;7,6;7;0,6;;0,6;0;;;;20.0;67.0;51.0;26.0;6.0;0,6;0;0,6;0,05;2.0;0,53;12;72.0;72.0;72.0;;;;;;;1,2;0;1,2;0;1,1;;;;;5,9;5,9;;0,06;0,12;0,04;0,18;;0,5;22,1;;13;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,43;;;;;0,06;;;;;;;;;;;;;;;;;0,01;;;;;;;;;;;;;;;;kruidvat;1842;;
Foods for special nutritional use;3157;toddler formula kruidvat standaard 2 p 100 ml;per 100ml;;;;291;69;86,1;1,4;0;1,4;;;3;2,9;1,2;1,2;0,4;;;;8,9;6,5;2,4;;0,6;0;;;;23.0;74.0;61.0;32.0;6.0;1,1;0;1,1;0,05;2.0;0,8;14;67.0;67.0;67.0;;;;;;;1,4;0;1,4;0;1,2;;;;;5,8;5,8;;0,06;0,13;0,05;0,19;;0,5;28,9;;17;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,39;;;;;0,05;;;;;;;;;;;;;;;;;0,01;;;;;;;;;;;;;;;;kruidvat;1843;;
Foods for special nutritional use;3158;toddler formula kruidvat standaard 3 p 100 ml;per 100ml;;;;298;71;85,8;1,5;0;1,5;;;3,1;2,9;1,2;1,2;0,5;;;;9;6,5;2,5;;0,6;0;;;;23.0;80.0;61.0;36.0;7.0;1,1;0;1,1;0,05;2.0;0,8;14;68.0;68.0;68.0;;;;;;;1,5;0;1,5;0;1,2;;;;;6;6;;0,06;0,14;0,05;0,2;;0,5;28,9;;17;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;0,06;;;;;;;;;;;;;;;;;0,01;;;;;;;;;;;;;;;;kruidvat;1844;;
Cheese;3163;cheese 30+ age 8 wk-4 mths;per 100g;;;;1159;278;44,8;29,3;0;29,3;;;17,9;16,8;11,6;3,8;0,5;0,2;0,3;0,5;0;0;0;0;0;0;;;65.0;565.0;78.0;1050.0;640.0;40.0;0,1;0;0,1;0,1;14.0;5;21;174.0;180.0;168.0;72.0;1.0;3.0;1.0;2.0;1.0;0,2;0,1;0,2;0;0,5;0,4;0;0;0;49,6;2,3;47,3;0,01;0,27;0,045;1,78;;0,1;28;28;0;0.0;0,63;0,47;0,27;0,55;0;0,69;0;1,98;0,19;5,13;0,08;1,66;0;0;0;0;0;0;0.0;0.0;0;0;0;0,19;0,33;3,25;0;0;0;0;0,29;0;0;0;0;0,23;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0,07;0,42;0;0;0;0.0;0;0.0;0;0,35;cheese +   wk-;1845;62.0;cheese
Cheese;3164;cheese 30+ age 4-7 mths;per 100g;;;;1275;306;46,7;31,9;0;31,9;;;19,8;18,6;12,9;4,2;0,6;0,3;0,3;0,5;0;0;0;0;0;0;;;54.0;696.0;107.0;1033.0;667.0;40.0;0,2;0;0,2;0,08;15.0;4,47;22;199.0;208.0;190.0;110.0;;;;;;0,2;0,1;0,2;0;0,5;0,5;;;;47,5;2,3;45,2;0,03;0,33;0,05;2,23;;0,1;35;35;0;0.0;0,7;0,52;0,3;0,61;0;0,76;0;2,19;0,21;5,69;0,09;1,84;0;0;0;0;0;0;0.0;0.0;0;0;0;0,21;0,37;3,61;0;0;0;0;0,32;0;0;0;0;0,26;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0,08;0,46;0;0;0;0.0;0;0.0;0;0,39;cheese +  -;1846;62.0;cheese
Cheese;3165;cheese 30+ age 10-12 mths;per 100g;;;;1279;307;41,3;31,7;0;31,7;;;20;18,8;13;4,2;0,6;0,3;0,3;0,5;0;0;0;0;0;0;;;70.0;810.0;120.0;1130.0;690.0;40.0;0,2;0;0,2;0,1;14.0;5;23;152.0;159.0;145.0;82.0;1.0;3.0;1.0;1.0;1.0;0,2;0,1;0,2;0;0,5;0,5;0;0;0;47,5;2,3;45,2;0,01;0,3;0,04;1,1;;0,1;32;32;0;0.0;0,7;0,52;0,3;0,61;0;0,77;0;2,22;0,21;5,75;0,09;1,86;0;0;0;0;0;0;0.0;0.0;0;0;0;0,21;0,37;3,65;0;0;0;0;0,32;0;0;0;0;0,26;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0,08;0,47;0;0;0;0.0;0;0.0;0;0,4;cheese +  -;1847;62.0;cheese
