Food group;NEVO-code;Engelse naam/Food name;Hoeveelheid/Quantity;Opmerking;Bevat sporen van/Contains traces of;Is verrijkt met/Is fortified with;ENERCJ (kJ);ENERCC (kcal);WATER (g);PROT (g);PROTPL (g);PROTAN (g);NT (g);TRP (mg);FAT (g);FACID (g);FASAT (g);FAMSCIS (g);FAPU (g);FAPUN3 (g);FAPUN6 (g);FATRS (g);CHO (g);SUGAR (g);STARCH (g);POLYL (g);FIBT (g);ALC (g);OA (g);ASH (g);CHORL (mg);NA (mg);K (mg);CA (mg);P (mg);MG (mg);FE (mg);HAEM (mg);NHAEM (mg);CU (mg);SE (µg);ZN (mg);ID (µg);VITA_RAE (µg);VITA_RE (µg);RETOL (µg);CARTBTOT (µg);CARTA (µg);LUTN (µg);ZEA (µg);CRYPXB (µg);LYCPN (µg);VITD (µg);CHOCALOH (µg);CHOCAL (µg);ERGCAL (µg);VITE (mg);TOCPHA (mg);TOCPHB (mg);TOCPHD (mg);TOCPHG (mg);VITK (µg);VITK1 (µg);VITK2 (µg);THIA (mg);RIBF (mg);VITB6 (mg);VITB12 (µg);NIAEQ (mg);NIA (mg);FOL (µg);FOLFD (µg);FOLAC (µg);VITC (mg);F4:0 (g);F6:0 (g);F8:0 (g);F10:0 (g);F11:0 (g);F12:0 (g);F13:0 (g);F14:0 (g);F15:0 (g);F16:0 (g);F17:0 (g);F18:0 (g);F19:0 (g);F20:0 (g);F21:0 (g);F22:0 (g);F23:0 (g);F24:0 (g);F25:0 (g);F26:0 (g);FASATXR (g);F10:1CIS (g);F12:1CIS (g);F14:1CIS (g);F16:1CIS (g);F18:1CIS (g);F20:1CIS (g);F22:1CIS (g);F24:1CIS (g);FAMSCXR (g);F18:2CN6 (g);F18:2CN9 (g);F18:2CT (g);F18:2TC (g);F18:2R (g);F18:3CN3 (g);F18:3CN6 (g);F18:4CN3 (g);F20:2CN6 (g);F20:3CN9 (g);F20:3CN6 (g);F20:3CN3 (g);F20:4CN6 (g);F20:4CN3 (g);F20:5CN3 (g);F21:5CN3 (g);F22:2CN6 (g);F22:2CN3 (g);F22:3CN3 (g);F22:4CN6 (g);F22:5CN6 (g);F22:5CN3 (g);F22:6CN3 (g);F24:2CN6 (g);FAPUXR (g);F10:1TRS (g);F12:1TRS (g);F14:1TRS (g);F16:1TRS (g);F18:1TRS (g);F18:2TTN6 (g);F18:3TTTN3 (g);F20:1TRS (g);F20:2TT (g);F22:1TRS (g);F24:1TRS (g);FAMSTXR (g);FAUN (g);cleaned_name;nutrition_index;flavour_index;flavour_name
Potatoes and tubers;1;potatoes raw;per 100g;;;;371;88;77;2;2;0;;;0;0;0;0;0;0;0;0;19;1;18;0;1,8;0;;;0.0;2.0;450.0;6.0;60.0;22.0;0,5;0;0,5;0,09;1.0;0,37;2,5;1.0;1.0;0.0;5.0;0.0;100.0;16.0;3.0;0.0;0;0;0;0;0,1;;;;;;;;0,12;0,04;0,3;0;;1,2;23;23;0;14.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;;potatoes;0;373.0;potato
Potatoes and tubers;2;potatoes new raw;per 100g;;;;371;88;77;2;2;0;;;0;0;0;0;0;0;0;0;19;1;18;0;1,8;0;;;0.0;2.0;450.0;6.0;60.0;14.0;0,5;0;0,5;0,09;1.0;0,2;2,5;0.0;0.0;0.0;3.0;0.0;13.0;4.0;0.0;0.0;0;0;0;0;0,1;;;;;;;;0,12;0,04;0,3;0;;1,2;23;23;0;25.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;;potatoes new;1;373.0;potato
Potatoes and tubers;3;potatoes old raw;per 100g;;CARTA;;371;88;77;2;2;0;;;0;0;0;0;0;0;0;0;19;1;18;0;1,8;0;;;0.0;2.0;450.0;6.0;60.0;17.0;0,5;0;0,5;0,08;1.0;0,3;2,5;1.0;1.0;0.0;8.0;0.0;60.0;;;0.0;0;0;0;0;0,1;;;;;;;;0,12;0,04;0,22;0;;1,2;23;23;0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;;potatoes old;2;373.0;potato
Cereals and cereal products;4;pasta white raw;per 100g;;VITE;;1511;356;10;12,3;12,3;0;;;1,5;1;0,2;0,2;0,6;0;0,6;0;72;1;71;0;3;0;;;0.0;2.0;100.0;15.0;125.0;53.0;2;0;2;0,3;5.0;1,5;0,6;0.0;0.0;0.0;0.0;;;;;;0;0;0;0;0;0;0;0;0;0,2;0,2;;0,1;0,06;0,08;0;;2;11;11;0;0.0;0;0;0;0;0;0;0;0;0;0,19;0;0,01;0;0,01;0;0;0;0;0.0;0.0;0;0;0;0;0;0,15;0;0;0;0;0,61;0;0;0;0;0,04;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;;pasta;3;484.0;pasta
Cereals and cereal products;5;rice white raw;per 100g;;F14:0, F16:1CIS, F20:0, FAPUXR;;1492;352;13;7;7;0;;;1;0,9;0,2;0,3;0,4;0;0,4;0;78;0;78;0;1,3;0;;;0.0;2.0;100.0;10.0;100.0;13.0;0,4;0;0,4;0,37;13.0;1,8;2,2;0.0;0.0;0.0;0.0;;;;;;0;0;0;0;0,1;;;;;0,1;0,1;;0,04;0,03;0,12;0;;1;20;20;0;0.0;0;0;0;0;;0;;0;0;0,21;0;0,02;;0;;0;;0;;;;;;0;0;0,26;0;0;;0;0,36;;;;;0;;0;0;;;;;;0;;;;0;0;;;0;;0;;;;;;;;;;;;;;rice;4;55.0;rice
Vegetables;7;endive raw;per 100g;;;;68;16;95,1;1,5;1,5;0;;15.0;0,3;0,2;0;0;0,2;0,1;0;0;1;1;0;0;1,7;0;;0,7;0.0;29.0;253.0;54.0;36.0;11.0;1,2;0;1,2;0,05;1.0;0,55;6,4;76.0;151.0;0.0;905.0;3.0;1516.0;4.0;0.0;16.0;0;0;0;0;0,3;0,3;0;0;0,4;231;231;;0,05;0,06;0,057;0;0,6;0,4;35,2;35,2;0;1.0;0;0;0;0;0;0;0;0;0;0,04;0;0,01;;0;0;0;0;0;;;;;;0;0;0,01;0;0;0;0;0,05;;;;;0,12;0;;0;;0;0;0;;0;;0;0.0;;;;;0;;;;;0;0;0;;;0;;0;0.0;;;endive;5;344.0;endive
Vegetables;8;endive boiled;per 100g;;;;93;22;93,5;1,4;1,4;0;;3.0;0,5;0,3;0,1;0;0,2;0,2;0,1;0;2,3;1,6;0,7;0;1,7;0;;0,7;0.0;5.0;163.0;60.0;25.0;9.0;0,5;0;0,5;0,06;0.0;0,27;6,4;189.0;377.0;0.0;2240.0;8.0;2926.0;6.0;39.0;26.0;0;0;0;0;0,8;0,6;0;0;1,2;337;337;;0,05;0,06;0,081;0;0,5;0,5;45;45;0;1.0;0;0;0;0;0;0;0;0;0;0,05;0;0,01;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0,01;0;0;0;0;0,07;0;0;0;0;0,18;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;endive;6;344.0;endive
Vegetables;9;asparagus white raw;per 100g;;;;93;22;94;1;1;0;;;0,3;0,3;0,1;0;0,2;0;0,2;0;3;1;2;0;1,7;0;;;0.0;1.0;200.0;20.0;60.0;20.0;1;0;1;0,08;1.0;0,5;0,2;0.0;0.0;0.0;1.0;1.0;25.0;0.0;0.0;0.0;0;0;0;0;1,2;;;;;41,6;41,6;;0,1;0,07;0,03;0;;0,6;175;175;0;30.0;0;0;0;0;0;0;0;0;0;0,09;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0,01;0;0;0;0;0,19;0;0;0;0;0,02;0;0;0;0.0;0;0;0;0;0;;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;;0;0.0;0;0.0;0;0;asparagus;7;371.0;asparagus
Vegetables;10;aubergine/eggplant raw;per 100g;;;;84;20;93;1;1;0;;;0;0;0;0;0;0;0;0;3;3;0;0;2;0;;;0.0;2.0;200.0;10.0;12.0;11.0;0,5;0;0,5;0,01;0.0;0,2;1;6.0;12.0;0.0;40.0;60.0;;;0.0;;0;0;0;0;0;;;;;6,1;6,1;;0,04;0,05;0,07;0;;0,6;18;18;0;10.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;;0;0.0;0;0.0;0;0;aubergine/eggplant;8;23.0;eggplant
Vegetables;11;aubergine/eggplant boiled;per 100g;;;;88;21;93;1;1;0;;;0;0;0;0;0;0;0;0;3;3;0;0;2,5;0;;;0.0;10.0;200.0;10.0;12.0;8.0;0,5;0;0,5;0,01;1.0;0,1;1,2;6.0;12.0;0.0;40.0;60.0;;;0.0;;0;0;0;0;0;;;;;6,1;6,1;;0,04;0,05;0,06;0;;0,6;5;5;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;;0;0.0;0;0.0;0;0;aubergine/eggplant;9;23.0;eggplant
Vegetables;12;beetroot raw;per 100g;;;;158;38;89;1,7;1,7;0;;;0,1;0,1;0;0;0;0;0;0;6;6;0;0;2,9;0;;;0.0;70.0;400.0;10.0;40.0;14.0;0,4;0;0,4;0,02;0.0;0,4;0,5;1.0;2.0;0.0;9.0;7.0;0.0;40.0;;26.0;0;0;0;0;0,1;;;;;0,2;0,2;;0,05;0,05;0,045;0;;0,1;19;19;0;2.0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0,02;0;0;0;0;0,04;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;;0;0.0;0;0.0;0;0;beetroot;10;367.0;beetroot
Vegetables;13;celery boiled;per 100g;;;;60;14;92;1;1;0;;;0;0;0;0;0;0;0;0;2;1;1;0;1,1;0;;;0.0;60.0;320.0;80.0;40.0;4.0;0,5;0;0,5;0,01;3.0;0,1;1,1;242.0;483.0;0.0;2900.0;0.0;7200.0;;;0.0;0;0;0;0;0,2;;;;;37,8;37,8;;0,08;0,15;0,06;0;;0,8;10;10;0;10.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;;0;0.0;0;0.0;0;0;celery;11;329.0;celery
Vegetables;14;cauliflower raw;per 100g;;;;107;25;91,8;1,9;1,9;0;;20.0;0,2;0,1;0;0;0,1;0,1;0;0;3;2,4;0,6;0;2,2;0;;0,9;0.0;8.0;296.0;28.0;48.0;12.0;0,3;0;0,3;0,03;0.0;0,37;2,5;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0,1;31;31;;0,05;0,06;0,132;0;0,9;0,5;67,1;67,1;0;25.0;0;0;0;0;0;0;0;0;0;0,03;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0,01;0;0;0;0;0,01;0;0;0;0;0,08;0;0;0;0.0;0;0;0;0;0;;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;;0;0.0;0;0.0;0;0;cauliflower;12;354.0;cauliflower
Vegetables;15;cauliflower boiled;per 100g;;;;92;22;93,4;1,8;1,8;0;;22.0;0,4;0,3;0,1;0;0,2;0,2;0;0;1,8;1,2;0,6;0;2,3;0;;0,4;0.0;10.0;224.0;25.0;47.0;9.0;0,3;0;0,3;0,05;0.0;0,26;2,5;0.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;0;0;0;0;0,1;0,1;0;0;0,5;28,5;28,5;;0,02;0,05;0,063;0;0,8;0,5;95,1;95,1;0;22.0;0;0;0;0;0;0;0;0;0;0,06;0;0,01;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0,02;0;0;0;0;0,03;0;0;0;0;0,17;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;cauliflower;13;354.0;cauliflower
Vegetables;16;kale curly boiled;per 100g;;CARTA, CRYPXB, LYCPN, THIA, TOCPHD, TOCPHG;;139;33;88,4;2,7;2,7;0;0,4;;1,3;0,9;0,3;0,3;0,4;0,3;0,1;0;1;0,9;0,1;0;3,5;0;;;0.0;6.0;229.0;231.0;46.0;13.0;1,1;0;1,1;0,03;2.0;0,2;2;175.0;350.0;0.0;2097.0;0.0;6097.0;233.0;0.0;0.0;0;0;0;0;2,7;2,6;0,1;0;0;817;817;0;0;0,03;0,09;0;;0,4;97;97;0;25.0;0;0;0;0;0;0;0;0;0;0,15;0;0,1;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0,26;0;0;0;0;0,13;0;0;0;0;0,26;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;;;14;576.0;kale
Vegetables;17;mushrooms chanterelle raw;per 100g;;CARTA;;68;16;90;1,8;1,8;0;0,3;;0;0;0;0;0;0;0;0;1;0;1;0;2,5;0;;1,5;0.0;5.0;500.0;10.0;80.0;7.0;0,5;0;0,5;0,42;0.0;0,97;3,3;108.0;217.0;0.0;1300.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0,1;;;;;;;;0,07;0,3;0,02;0;;5;44;44;0;20.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;;0;0.0;0;0.0;0;0;mushrooms chanterelle;15;246.0;mushroom
Vegetables;18;mushrooms chanterelle boiled;per 100g;;CARTA;;85;20;90;1,8;1,8;0;;;0;0;0;0;0;0;0;0;2;0;2;0;2,5;0;;;0.0;5.0;500.0;10.0;80.0;7.0;0,5;0;0,5;0,42;0.0;0,97;3,3;190.0;380.0;0.0;2281.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0,1;;;;;;;;0,07;0,3;0,01;0;;5;8;8;0;6.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;;0;0.0;0;0.0;0;0;mushrooms chanterelle;16;246.0;mushroom
Vegetables;19;mushroom raw;per 100g;;;;75;18;94,4;2,3;2,3;0;0,5;;0,5;0,4;0,1;0;0,3;0,2;0,1;0;0,4;0,2;0,2;0;1,5;0;;1;0.0;5.0;320.0;6.0;80.0;9.0;0,2;0;0,2;0,72;0.0;0,3;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0,1;;;;;0,3;0,3;;0,07;0,3;0,12;0;;4;44;44;0;4.0;0;0;0;0;0;0;0;0;0;0,11;0;0,01;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0,22;0;0;0;0.0;0;0;0;0;0;;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;;0;0.0;0;0.0;0;0;mushroom;17;246.0;mushroom
Vegetables;20;mushroom boiled;per 100g;;;;90;21;90;3,8;3,8;0;;;0,3;0,2;0,1;0;0,2;0,1;0;0;0,4;0,2;0,2;0;1,1;0;;;0.0;5.0;250.0;5.0;64.0;7.0;1;0;1;0,4;7.0;0,3;0,5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0,1;;;;;0;0;;0,07;0,3;0,07;0;;4;8;8;0;1.0;0;0;0;0;0;0;0;0;0;0,07;0;0,01;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0,03;0;0;0;0;0,13;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;mushroom;18;246.0;mushroom
Vegetables;21;cabbage chinese raw;per 100g;;CARTA, CRYPXB;;71;17;94,5;1;1;0;;;0;0;0;0;0;0;0;0;2;0;2;0;2,5;0;;;0.0;10.0;250.0;125.0;45.0;11.0;1;0;1;0,02;0.0;0,23;2;1.0;3.0;0.0;15.0;0.0;40.0;;0.0;0.0;0;0;0;0;0,1;;;;;31,8;31,8;;0,03;0,04;0,05;0;;0,6;77;77;0;23.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;;19;353.0;cabbage
Vegetables;22;cabbage chinese boiled;per 100g;;CARTA, CRYPXB;;71;17;94,5;1;1;0;;;0;0;0;0;0;0;0;0;2;0;2;0;2,5;0;;;0.0;10.0;250.0;125.0;45.0;11.0;1;0;1;0,02;0.0;0,17;2;1.0;3.0;0.0;15.0;0.0;40.0;;0.0;0.0;0;0;0;0;0,1;;;;;34;34;;0,03;0,04;0,03;0;;0,6;55;55;0;10.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;;20;353.0;cabbage
Vegetables;23;peas raw;per 100g;;;;276;65;82;4;4;0;;;0;0;0;0;0;0;0;0;10;1;9;0;4,7;0;;;0.0;10.0;300.0;20.0;80.0;30.0;2;0;2;0,11;1.0;1,1;2;47.0;94.0;0.0;557.0;16.0;1790.0;0.0;0.0;0.0;0;0;0;0;0;;;;;39;39;;0,17;0,15;0,09;0;;2,7;59;59;0;25.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;;0;0.0;0;0.0;0;0;peas;21;288.0;peas
Vegetables;24;cabbage green raw;per 100g;;TOCPHD, TOCPHG;;151;36;89,2;2,4;2,4;0;;0.0;0,2;0,1;0;0;0,1;0,1;0;0;4,1;4,1;0;0;4,1;0;;;0.0;7.0;288.0;56.0;37.0;14.0;0,5;0;0,5;0,04;1.0;0,3;1;38.0;76.0;0.0;454.0;;80.0;0.0;0.0;0.0;0;0;0;0;0,1;0;0,2;0;0;242;242;;0,33;0,04;0,14;0;0,6;0,6;45;45;0;30.0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0,01;0;0;0;0.0;0.0;0;0;0;0;0;0,01;0;0;0;0;0,03;0;0;0;0;0,06;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0,01;;22;353.0;cabbage
Vegetables;25;cabbage green boiled;per 100g;;CARTA, CRYPXB, LYCPN, TOCPHB, TOCPHD;;90;21;93,8;1,5;1,5;0;;0.0;0,2;0,1;0;0;0,1;0,1;0;0;2,3;2,3;0;0;2,2;0;;;0.0;5.0;187.0;54.0;29.0;9.0;0,4;0;0,4;0,03;1.0;0,2;1;26.0;53.0;0.0;317.0;0.0;414.0;0.0;0.0;0.0;0;0;0;0;0,3;0,3;0;0;0;201;201;;0,15;0,05;0,07;0;0,3;0,3;40;40;0;45.0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0,01;0;0;0;0.0;0.0;0;0;0;0;0;0,01;0;0;0;0;0,03;0;0;0;0;0,06;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0,01;;23;353.0;cabbage
Vegetables;26;celeriac boiled;per 100g;;;;158;38;88;2;2;0;;;0;0;0;0;0;0;0;0;5;0;5;0;4,9;0;;;0.0;80.0;400.0;80.0;90.0;13.0;1;0;1;0,03;3.0;0,1;2;2.0;4.0;0.0;13.0;13.0;;;13.0;;0;0;0;0;0,5;0,5;0;;0,1;41;41;;0,03;0,03;0,09;0;;0,8;37;37;0;6.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;;0;0.0;0;0.0;0;0;celeriac;24;329.0;celery
Vegetables;27;cucumber wo skin raw;per 100g;;;;63;15;96,1;0,6;0,6;0;;4.0;0,2;0,2;0,1;0;0,1;0;0;0;2,5;1,7;0,8;0;0,3;0;;0,3;0.0;2.0;145.0;22.0;25.0;10.0;0,4;0;0,4;0,02;0.0;0,22;3;6.0;11.0;0.0;66.0;0.0;165.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;2;2;;0,01;0,01;0,026;0;0,2;0,2;6;6;0;1.0;0;0;0;0;0;0;0;0;0;0,06;0;0,01;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0,01;0;0;0;0;0,04;0;0;0;0;0,04;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;;cucumber;25;366.0;cucumber
Vegetables;28;cucumber boiled;per 100g;Zonder schil.;;;70;17;97;1;1;0;;;0;0;0;0;0;0;0;0;3;3;0;0;0,3;0;;;0.0;5.0;200.0;20.0;30.0;10.0;0,5;0;0,5;0,02;0.0;0,22;3;1.0;2.0;0.0;10.0;0.0;16.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;20,9;20,9;;0,03;0,01;0,02;0;;0,2;3,6;3,6;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;;cucumber;26;366.0;cucumber
Vegetables;29;swede boiled;per 100g;;FAMSCIS, FASAT, ID, LUTN, RIBF, SE, VITE;;138;33;90,4;0,7;0,7;0;;;0,1;0,1;0;0;0,1;0;0;0;5,8;5,7;0,1;0;3;0;;;0.0;4.0;175.0;37.0;32.0;8.0;0,2;0;0,2;0,02;0.0;0,1;0;2.0;4.0;0.0;8.0;6.0;0.0;;22.0;112.0;0;0;0;0;0;0;0;0;0;2;2;;0,02;0;0,07;0;;0,5;19;19;0;15.0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0;0.0;0.0;;0;0;0;0;0,01;0;0;0;;0,02;0;0;0;;0,03;0;0;0;0.0;0;0;0;0;0;;0;0.0;0;0;0;0;0;0.0;;0.0;0.0;0;0;;0;;0;0.0;0;0.0;;0;swede;27;;
Vegetables;30;kohlrabi boiled;per 100g;;CARTA, CARTBTOT, CRYPXB, VITA_RAE, VITA_RE, VITE;;129;31;90;2;2;0;;;0,3;0,3;0;0;0,2;;;0;4;0;4;0;2;0;;;0.0;10.0;500.0;90.0;60.0;43.0;1;0;1;0,01;1.0;0,26;1;0.0;0.0;0.0;0.0;0.0;;;0.0;;0;0;0;0;0;0;0;0;0;0,1;0,1;;0,04;0,05;0,06;0;;0,4;47;47;0;50.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kohlrabi;28;359.0;kohlrabi
Vegetables;31;sweet pepper green raw;per 100g;;;;78;19;94,6;0,8;0,8;0;;6.0;0,1;0,1;0;0;0;0;0;0;2,5;2,5;0;0;2,5;0;;0,3;0.0;0.0;178.0;7.0;24.0;9.0;0,3;0;0,3;0,03;0.0;0,23;1;15.0;30.0;0.0;176.0;3.0;590.0;20.0;0.0;1.0;0;0;0;0;0,9;0,9;0;0;0,1;7,4;7,4;;0,02;0,02;0,202;0;0,8;0,7;11,1;11,1;0;71.0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0,03;0;0;0;0;0,01;0;0;0;0.0;0;0;0;0;0;;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;;0;0.0;0;0.0;0;0;sweet pepper;29;339.0;pepper
Vegetables;32;sweet pepper green boiled;per 100g;;;;73;17;94,5;0,6;0,6;0;;7.0;0,2;0,1;0;0;0,1;0;0,1;0;2,3;2;0,3;0;2,2;0;;0,3;0.0;2.0;126.0;10.0;19.0;8.0;0,5;0;0,5;0,04;0.0;0,23;1;19.0;38.0;0.0;225.0;6.0;598.0;20.0;0.0;1.0;0;0;0;0;0,9;0,9;0;0;0,1;9,8;9,8;;0,02;0,02;0,179;0;0,7;0,6;16;16;0;70.0;0;0;0;0;0;0;0;0;0;0,03;0;0,01;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0,01;0;0;0;0;0,06;0;0;0;0;0,03;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;0;sweet pepper;30;339.0;pepper
Fruits;33;raisins dried;per 100g;;LUTN;;1378;325;16,8;3,1;3,1;0;;;0,5;0,3;0,1;0;0,1;0;0,1;0;71,7;69;2,7;0;3,7;0;4,7;;0.0;25.0;800.0;50.0;90.0;42.0;2;0;2;0,39;8.0;0,18;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0,7;;;;;3,7;3,7;;0,08;0,03;0,15;0;;0,5;10;10;0;0.0;0;0;0;0;0;0;0;0;0;0,13;0;0,02;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0,02;0;0;0;0;0,1;0;0;0;0;0,03;0;0;0;0.0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;0.0;0.0;0;0;0;0;0;0;0.0;0;0.0;0;;;31;212.0;raisin
